WD22CD_proposed,Very Good Health,Good Health,Fair Health,Bad Health,Very Bad Health,Day-to-Day Activities Limited a Lot,Day-to-Day Activities Limited a Little,Day-to-Day Activities Not Limited,Provides No Unpaid Care,Provides 1 to 19 Hours Unpaid Care a Week,Provides 20 to 49 Hours Unpaid Care a Week,Provides 50 or More Hours Unpaid Care a Week
E05013714,45.36557824409523,33.61249647125247,13.907970264420815,5.495436153194693,1.6185188670367932,9.005363696245412,8.798343841159312,82.19629246259528,90.63705655406041,5.0719864496094855,1.6185188670367932,2.6724381292933095
E05013715,52.824240864642306,32.276119402985074,9.94595985589295,3.7184765826042203,1.2352032938754502,6.677817807514153,6.65851775604735,86.6636644364385,92.69814719505919,4.8893463715903245,1.0550694801852805,1.3574369531652084
E05013716,51.94429372400072,34.55718333634774,9.525532043166335,3.020437692168566,0.9525532043166335,5.17875444625309,6.046904202085971,88.77434135166094,93.83251944293724,4.29251823717369,0.838005667088684,1.0369566528003857
E05013717,47.39392433372678,35.00031061688513,12.61104553643536,3.826800024849351,1.1679194881033732,7.28085978753805,7.709511089022799,85.00962912343915,90.22178045598558,6.212337702677518,1.5095980617506368,2.0562837795862583
E05013718,51.48289482493138,33.199437638079935,10.738434759322487,3.5013724308763474,1.0778603467898507,6.239539398808328,6.828680457923277,86.9317801432684,91.2432215304278,5.697261833032068,1.2720091049072773,1.787507531632858
E05013719,48.34217963741642,34.93485903357,11.518577238574482,3.8602054180740333,1.344178672365065,6.5623492107258565,6.838078169159716,86.59957262011443,92.61046391397257,4.273798855724823,1.440683807816916,1.6750534224856966
E05013720,44.15553576729,34.06352033244286,15.001484119916888,5.028198278420897,1.7512615019293558,9.617097061442564,9.225289403383794,81.15761353517364,90.33541110121698,4.861976847729297,1.6444048679133274,3.158207183140398
E05013721,51.13126316753687,32.90281212787396,11.05615095722268,3.7830905926536595,1.126683154712833,6.1555372355042595,6.924979389942292,86.91948337455345,93.3040212512595,3.8288907208940186,1.3282037189704132,1.5388843088760649
E05013722,52.18796283829271,32.6646021273731,10.657062070822674,3.4468829944796013,1.0434899690319106,5.89066918001885,6.940891342399354,87.1684394775818,92.49360441631883,5.069341591490508,0.9829002288945738,1.454153763296082
E05013723,46.47577092511013,34.78173808570284,13.149112268055,4.058203177145908,1.5351755439861168,8.443465491923641,7.8961420371112,83.66039247096516,90.42183954078227,5.8937391536510475,1.3749833133093046,2.3094379922573753
E05013724,48.43880972338642,34.35666387259011,11.981349538977367,3.902975691533948,1.3202011735121542,7.344928751047779,7.329212070410729,85.32585917854149,91.633487007544,5.107921207041073,1.3883067896060353,1.8702849958088852
E05013725,48.95474667978357,34.90531234628628,11.012051155927201,3.7567634038366946,1.3711264141662567,6.542056074766355,7.027791441219872,86.43015248401377,91.81013280865716,5.084849975405804,1.3219380226266602,1.7830791933103787
E05013726,51.10821382007823,33.19838056680162,10.979208124614011,3.431002538941879,1.2831949495642627,6.601248884924175,7.040417209908735,86.35833390516709,91.65580182529335,5.3386399505935636,1.0910588073835175,1.9144994167295684
E05013727,51.00515463917526,33.58247422680412,11.005154639175258,3.2989690721649483,1.1082474226804124,6.469072164948454,6.72680412371134,86.80412371134021,94.25257731958763,3.634020618556701,0.7731958762886598,1.3402061855670102
E05013728,50.54855275443511,32.6797385620915,11.356209150326798,4.260037348272642,1.1554621848739495,6.746031746031746,6.489262371615313,86.76470588235294,93.03221288515407,4.119981325863678,1.0971055088702149,1.7507002801120448
E05013729,49.68705391457121,34.23190952014934,11.38684528384759,3.475348632919732,1.2188426485121335,6.75304710662128,7.340507302075327,85.9064455913034,91.34731525200395,5.539694740309652,1.2298232129131437,1.8831667947732513
E05013730,46.37964774951077,34.898891063274625,12.809108699519658,4.382375615252328,1.529976872442626,8.01162308011623,7.922670936369567,84.0657059835142,91.62663820198067,5.31340805313408,1.3105615845341874,1.7493921603510645
E05013731,46.88042669312826,34.867278590920364,12.589928057553957,4.248325477548995,1.4140411808484248,8.260977424956586,7.857851649714711,83.8811709253287,91.85685934011411,4.887124782932275,1.352021830811213,1.9039940461423965
E05013732,50.670159619836724,33.85524552211527,10.66772267576459,3.6980626294626537,1.1088095528207627,6.159376142317534,6.927013525039601,86.91361033264286,92.45156573656635,4.928719385890094,1.1270866333617644,1.492628244181796
