OA11CD,Very Good Health,Good Health,Fair Health,Bad Health,Very Bad Health,Day-to-Day Activities Limited a Lot,Day-to-Day Activities Limited a Little,Day-to-Day Activities Not Limited,Provides No Unpaid Care,Provides 1 to 19 Hours Unpaid Care a Week,Provides 20 to 49 Hours Unpaid Care a Week,Provides 50 or More Hours Unpaid Care a Week
E00016403,52.73224043715847,35.51912568306011,7.6502732240437155,3.8251366120218577,0.273224043715847,3.8251366120218577,5.737704918032787,90.43715846994536,95.35519125683061,2.459016393442623,0.819672131147541,1.366120218579235
E00016437,57.62081784386617,29.55390334572491,8.921933085501859,2.973977695167286,0.929368029739777,4.646840148698884,6.5055762081784385,88.84758364312268,93.68029739776952,2.41635687732342,1.3011152416356877,2.6022304832713754
E00016439,45.55256064690027,38.544474393531,10.242587601078167,4.3126684636118595,1.3477088948787062,7.277628032345014,9.973045822102426,82.74932614555256,95.95687331536388,1.8867924528301887,0.2695417789757412,1.8867924528301887
E00016442,54.51977401129943,33.898305084745765,7.909604519774011,3.1073446327683616,0.5649717514124294,3.672316384180791,5.367231638418079,90.96045197740114,95.48022598870057,3.1073446327683616,0.2824858757062147,1.1299435028248588
E00016399,54.07725321888412,28.969957081545065,9.012875536480687,5.579399141630901,2.3605150214592276,8.15450643776824,6.223175965665236,85.62231759656652,92.27467811158799,3.218884120171674,2.1459227467811157,2.3605150214592276
E00016401,53.801169590643276,34.50292397660819,9.064327485380117,1.7543859649122806,0.8771929824561403,4.093567251461988,4.093567251461988,91.81286549707602,94.73684210526316,4.970760233918129,0.0,0.29239766081871343
E00016406,46.846846846846844,40.54054054054054,8.108108108108109,3.6036036036036037,0.9009009009009009,6.606606606606607,4.504504504504505,88.88888888888889,94.5945945945946,2.4024024024024024,0.3003003003003003,2.7027027027027026
E00016435,46.411483253588514,35.645933014354064,11.24401913875598,5.023923444976076,1.674641148325359,8.851674641148325,7.655502392344498,83.49282296650718,92.10526315789474,2.8708133971291865,2.15311004784689,2.8708133971291865
E00016395,53.521126760563384,26.760563380281692,14.43661971830986,3.8732394366197185,1.408450704225352,8.450704225352112,6.338028169014085,85.21126760563381,90.14084507042253,5.985915492957746,2.112676056338028,1.7605633802816902
E00016404,48.369565217391305,34.51086956521739,11.684782608695652,4.619565217391305,0.8152173913043478,5.706521739130435,7.065217391304348,87.22826086956522,92.1195652173913,3.260869565217391,2.989130434782609,1.6304347826086956
E00016405,45.182724252491695,41.86046511627907,8.970099667774086,3.9867109634551494,0.0,3.3222591362126246,4.318936877076412,92.35880398671097,93.02325581395348,4.318936877076412,1.9933554817275747,0.6644518272425249
E00016408,74.32432432432432,22.2972972972973,3.3783783783783785,0.0,0.0,0.0,2.027027027027027,97.97297297297297,97.97297297297297,2.027027027027027,0.0,0.0
E00016410,57.4468085106383,31.306990881458965,8.51063829787234,1.8237082066869301,0.9118541033434651,3.6474164133738602,3.951367781155015,92.40121580547113,94.83282674772036,3.0395136778115504,0.9118541033434651,1.21580547112462
E00016438,56.79012345679013,35.390946502057616,6.584362139917696,0.823045267489712,0.411522633744856,2.4691358024691357,3.292181069958848,94.23868312757202,98.35390946502058,0.823045267489712,0.411522633744856,0.411522633744856
E00016398,47.450980392156865,32.94117647058823,13.72549019607843,4.705882352941177,1.1764705882352942,7.8431372549019605,11.764705882352942,80.3921568627451,87.84313725490196,9.019607843137255,1.1764705882352942,1.9607843137254901
