WD22CD_proposed,No cars or vans,One car or van,Two cars or vans,Three cars or vans,Four cars or vans
E05013714,48.82866329811667,40.62930638493339,8.635737253100597,1.5388148828663297,0.3674781809830041
E05013715,45.983026874115986,43.28147100424328,9.27864214992928,1.0466760961810466,0.4101838755304102
E05013716,57.059558517284465,35.95724003887269,5.955851728446481,0.8191031514646675,0.20824656393169513
E05013717,34.125305126118796,45.109845402766474,16.338486574450773,3.515052888527258,0.9113100081366965
E05013718,41.67331949544946,45.4414817180265,10.601947948267604,1.836180744052371,0.4470700942040556
E05013719,64.07185628742515,30.605455755156353,4.557551563539588,0.6487025948103793,0.1164337990685296
E05013720,42.722528269063496,43.244418672078865,11.655552334009858,1.9135981443896781,0.4639025804581038
E05013721,61.5066405399521,32.91966035271064,4.637491835401698,0.7838014369693012,0.15240583496625298
E05013722,45.60405779280664,42.068859514294495,9.975407316323393,2.0442668306178913,0.3074085459575776
E05013723,37.51185583306987,44.13531457477079,14.337654125829909,2.877015491621878,1.1381599747075561
E05013724,43.77358490566038,42.83669486011711,10.800260247234872,1.9128171763175017,0.6766428106701367
E05013725,50.22235853396718,40.07054132801718,8.004907222818586,1.2268057046465266,0.47538721055052907
E05013726,40.72784810126582,46.56645569620253,10.569620253164556,1.7721518987341771,0.3639240506329114
E05013727,63.50839198700596,31.18570655116405,4.168922577152139,0.9204114780725501,0.2165674066053059
E05013728,60.337078651685395,33.651685393258425,5.0,0.898876404494382,0.11235955056179775
E05013729,42.65066460188412,43.373338495289715,11.446638275906569,1.9744483159117305,0.554910311007872
E05013730,53.91304347826087,36.88639551192146,7.517531556802244,1.276297335203366,0.4067321178120617
E05013731,46.25744258576694,42.685001417635384,9.157924581797563,1.559398922597108,0.3402324922030054
E05013732,55.27352297592998,35.97374179431072,7.425237053245806,1.1670313639679066,0.16046681254558717
